Name,canon,dept,rank,cohort,POST_2010,delay_yrs,Fast,AI,AI_corr,PHD_from_FEBA,Scopus_all,log_scopus,gender,deg_strength,eigen,katz,in_giant,z_deg_strength,z_eigen,z_katz
Теодор Даскалов,Теодор Даскалов,BA,Ас.,2029.0,1,-4.996577686516085,1,1.0,1.0,YES,0.0,0.0,1.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
д-р Божидар Недев,Божидар Недев,FA,Доц.,2019.0,1,-3.3045859000684463,1,1.0,1.0,YES,7.0,2.0794415416798357,1.0,1.5,0.007462776764771599,0.0994256479175781,1,0.0,-0.4118189708071203,0.5021152776432584
д-р Виктор Йоцов,Виктор Йоцов,FA,Проф.,2002.0,0,21.71937029431896,0,0.0,0.0,NO,8.0,2.1972245773362196,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
д-р Елеонора Станчева,Елеонора Станчева,FA,Проф.,2007.0,0,8.10403832991102,0,1.0,0.0,YES,7.0,2.0794415416798357,0.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
д-р Надя Велинова - Соколова,Надя Велинова - Соколова,FA,Проф.,2009.0,0,1.103353867214237,0,0.0,0.0,NO,1.0,0.6931471805599453,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
д-р Адриан Маринчев,Адриан Маринчев,FA,Доц.,2014.0,1,1.9876796714579055,0,0.0,0.0,NO,0.0,0.0,1.0,1.5,0.0,0.05414949075698552,0,0.0,-0.5045528620767835,-0.4481442106335931
д-р Банчо Банов,Банчо Банов,FA,Доц.,2010.0,1,-5.070499657768652,1,1.0,1.0,YES,0.0,0.0,1.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
д-р Илияна Анкова,Илияна Анкова,FA,Доц.,2011.0,1,-8.049281314168377,1,1.0,1.0,YES,0.0,0.0,0.0,1.5,0.13325320637632312,0.14860808380421808,1,0.0,1.1512769638625602,1.534360045945407
д-р Марселен Йовоган,Марселен Йовоган,FA,Доц.,2002.0,0,9.467488021902806,0,0.0,0.0,NO,2.0,1.0986122886681098,1.0,2.5,0.0,0.0600829413637923,0,1.0583005244258363,-0.5045528620767835,-0.32361249038751927
д-р Георги Ганев,Георги Ганев,FA,Гл. ас.,2015.0,1,-12.24914442162902,1,0.0,0.0,NO,9.0,2.302585092994046,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
